Name,Count
scott morrison,224
donald trump,214
alan kohler\n,142
boris johnson,114
george pell,61
bush,51
steve smith,46
max,44
kim jong,37
anthony albanese,36
taylor,35
peter dutton,32
nick kyrgios,31
josh frydenberg,30
donald trumps,30
david warner,25
tim,24
john setka,24
trumps,24
kyle,24
margaret,23
michael daley,22
jeffrey epstein,20
williams,19
tony abbott,19
michael mccarthy,19
alan kohler,18
ben,17
al araibi,17
cairns,17
chris,17
kim,16
koala,16
tamil,16
michael gunner,15
brexit,15
robert mueller,15
sam kerr,15
