Name,Count
un,84
senate,48
nasa,38
supreme court,28
boeing,22
fbi,20
white house,20
western australia,19
fed,18
justin,16
taliban,15
meteor,13
epa,13
congress,13
cctv,13
lincoln,13
medicare,11
catholic church,9
fifa,9
royal commission,9
miller,9
navy,9
pentagon,7
al,7
cia,7
bbc,7
warner,7
google,7
abattoir,7
el paso,7
nato,7
central australia,6
mcg,6
house,6
samsung,6
crown,6
el chapo,5
microsoft,5
fox news,5
erdogan,5
opera house,5
northern australia,5
martin,4
sony,4
semis,4
hugh jackman,4
china us,4
ford,4
mh370,4
netizens,4
matildas,4
city council,4
meghan markle,4
