senate, 156
un, 153
abc, 128
white house, 65
fbi, 52
supreme court, 41
nasa, 33
abc news, 33
congress, 31
fifa, 23
lloyd rayney, 21
epa, 20
abc news quiz, 18
mh370, 17
nato, 17
western australia, 17
cia, 16
medicare, 15
fed, 14
abattoir, 13
kremlin, 12
samsung, 12
hurricane irma, 12
fox, 11
lincoln, 11
cfa, 11
wilson, 11
cbs, 11
gm, 10
justin, 10
cctv, 10
campbell, 9
india australia, 9
red cross, 9
crown, 9
national rural news, 8
samoan, 8
daria gavrilova, 8
toyota, 8
taliban, 8
hamas, 8
ford, 8
miller, 8
google, 8
warner, 7
mcg, 7
central australia, 7
semis, 7
agl, 7
surf league, 7
bbc, 7
