Name,Count
donald trump,298
malcolm,181
trumps,88
bush,78
donald trumps,67
kim jong,58
joyce,42
nick kyrgios,40
tim,39
jeff,38
steve smith,37
hobart,36
mike,33
tony abbott,32
putin,32
nick xenophon,32
scott morrison,32
michael mccarthy,31
justine damond,31
julie bishop,29
pauline hanson,26
sam dastyari,25
colin barnett,24
matt,24
chris,24
michael,23
paul,22
mark mcgowan,21
shirley finn,21
john clarke,21
kim,20
peter dutton,20
george pell,20
vladimir putin,19
margaret,19
ben,19
malcolm roberts,19
