Name,Count
coronavirus,8381
covid,2711
new,1511
police,1220
us,991
trump,990
cases,931
restrictions,858
wa,851
government,753
man,741
china,707
border,686
election,676
donald,672
nt,665
health,626
court,595
pandemic,551
bushfire,548
sa,548
death,540
lockdown,540
covid19,534
coast,532
home,494
live,486
quarantine,448
fire,446
morrison,387
case,361
murder,357
biden,346
care,343
people,342
woman,339
travel,337
crash,333
school,331
vaccine,329
family,328
premier,328
charged,321
hotel,321
trial,319
update,318
indigenous,317
national,315
regional,313
dies,307
gold,304
