Name,Count
donald trump,266
scott morrison,129
malcolm,107
alan kohler\n,104
kim jong,90
bush,58
joyce,46
hobart,45
steve smith,44
donald trumps,43
peter dutton,39
trumps,36
kim,34
putin,33
julie bishop,33
vladimir putin,30
james ricketson,28
david warner,27
michael mccarthy,26
tim,25
jeff,25
george pell,25
nick kyrgios,24
larry,23
tony abbott,23
serena williams,23
hodgman,22
fiona clark,22
mike,22
prince harry,22
barnaby joyce,21
sarah hanson,21
nick xenophon,18
williams,18
boris johnson,18
cairns,18
marijuana,17
michael,17
